localhost,local,local
54.200.133.184,amazon,us-west-2
104.199.140.222,google,asia-east1-a
130.211.188.47,google,us-central1-f
104.196.16.92,google,us-east1-b
104.196.44.129,google,us-east1-c
104.196.18.18,google,us-east1-d
104.155.208.117,google,asia-east1-b
104.155.234.84,google,asia-east1-c
104.155.58.254,google,europe-west1-b
104.155.6.120,google,europe-west1-c
130.211.51.75,google,europe-west1-d
104.197.55.22,google,us-central1-a
104.154.77.149,google,us-central1-b
199.223.235.184,google,us-central1-c
